session_id,session_duration_sec,event_count,view_count,cart_count,item_revisit_count,avg_event_interval_sec,is_long_session,has_purchase
1000004_1,0.0,1,1,0,0.0,0.0,False,False
1000009_1,0.0,1,1,0,0.0,0.0,False,False
1000016_1,0.0,1,1,0,0.0,0.0,False,False
1000025_1,0.0,1,1,0,0.0,0.0,False,False
1000026_1,0.0,1,1,0,0.0,0.0,False,False
1000028_1,892.056,5,5,0,0.0,223.014,True,False
1000031_1,0.0,1,1,0,0.0,0.0,False,False
1000035_1,0.0,1,1,0,0.0,0.0,False,False
1000042_1,0.0,1,1,0,0.0,0.0,False,False
1000042_2,0.0,1,1,0,0.0,744414.198,False,False
1000042_3,0.0,1,1,0,0.0,2070254.324,False,False
1000058_1,0.0,1,1,0,0.0,0.0,False,False
1000062_1,0.0,1,1,0,0.0,0.0,False,False
1000070_1,94.75,2,2,0,1.0,94.75,False,False
1000070_2,0.0,1,1,0,0.0,1782846.409,False,False
1000070_3,5.442,2,2,0,0.0,561524.8895,False,False
1000090_1,0.0,1,1,0,0.0,0.0,False,False
1000094_1,0.0,1,1,0,0.0,0.0,False,False
1000101_1,0.0,1,1,0,0.0,0.0,False,False
1000108_1,0.0,1,1,0,0.0,0.0,False,False
1000115_1,0.0,1,1,0,0.0,0.0,False,False
1000141_1,0.0,1,1,0,0.0,0.0,False,False
1000142_1,86.449,2,2,0,0.0,86.449,False,False
1000144_1,0.0,1,1,0,0.0,0.0,False,False
1000149_1,0.0,1,1,0,0.0,0.0,False,False
1000153_1,0.0,1,1,0,0.0,0.0,False,False
1000160_1,0.0,1,1,0,0.0,0.0,False,False
1000161_1,0.0,1,1,0,0.0,0.0,False,False
1000164_1,0.0,1,1,0,0.0,0.0,False,False
1000187_1,0.0,1,1,0,0.0,0.0,False,False
1000205_1,0.0,1,1,0,0.0,0.0,False,False
1000218_1,0.0,1,1,0,0.0,0.0,False,False
1000221_1,0.0,1,1,0,0.0,0.0,False,False
1000226_1,0.0,1,1,0,0.0,0.0,False,False
1000236_1,0.0,1,1,0,0.0,0.0,False,False
100023_1,0.0,1,1,0,0.0,0.0,False,False
1000250_1,0.0,1,1,0,0.0,0.0,False,False
1000273_1,0.0,1,1,0,0.0,0.0,False,False
1000278_1,0.0,1,1,0,0.0,0.0,False,False
1000296_1,0.0,1,1,0,0.0,0.0,False,False
1000301_1,0.0,1,1,0,0.0,0.0,False,False
1000305_1,0.0,1,1,0,0.0,0.0,False,False
1000315_1,0.0,1,1,0,0.0,0.0,False,False
1000321_1,0.0,1,1,0,0.0,0.0,False,False
1000321_2,381.569,3,3,0,0.0,36252.31933333333,True,False
1000327_1,0.0,1,1,0,0.0,0.0,False,False
1000328_1,144.188,7,7,0,2.0,24.031333333333333,False,False
100032_1,0.0,1,1,0,0.0,0.0,False,False
1000350_1,0.0,1,1,0,0.0,0.0,False,False
1000351_1,0.0,1,1,0,0.0,0.0,False,False
1000355_1,0.0,1,1,0,0.0,0.0,False,False
1000369_1,0.0,1,1,0,0.0,0.0,False,False
100037_1,0.0,1,1,0,0.0,0.0,False,False
1000390_1,0.0,1,1,0,0.0,0.0,False,False
1000390_2,0.0,1,1,0,0.0,3563.615,False,False
1000390_3,0.0,1,1,0,0.0,88438.092,False,False
100040_1,0.0,1,1,0,0.0,0.0,False,False
1000413_1,104.225,2,2,0,0.0,104.225,False,False
1000417_1,0.0,1,1,0,0.0,0.0,False,False
1000436_1,0.0,1,1,0,0.0,0.0,False,False
1000445_1,0.0,1,1,0,0.0,0.0,False,False
1000445_2,0.0,1,1,0,0.0,872115.159,False,False
1000446_1,0.0,1,1,0,0.0,0.0,False,False
1000450_1,0.0,1,1,0,0.0,0.0,False,False
1000461_1,486.325,7,7,0,1.0,81.05416666666667,True,False
1000468_1,75.756,3,3,0,1.0,37.878,False,False
100046_1,20.438,2,2,0,0.0,20.438,False,False
100047_1,0.0,1,1,0,0.0,0.0,False,False
1000487_1,319.116,4,4,0,1.0,106.372,True,False
1000489_1,0.0,1,1,0,0.0,0.0,False,False
1000491_1,0.0,1,1,0,0.0,0.0,False,False
10004_1,0.0,1,1,0,0.0,0.0,False,False
1000502_1,995.712,3,3,0,1.0,497.856,True,False
1000504_1,0.0,1,1,0,0.0,0.0,False,False
1000514_1,0.0,1,1,0,0.0,0.0,False,False
1000522_1,0.0,1,1,0,0.0,0.0,False,False
1000528_1,0.0,1,1,0,0.0,0.0,False,False
1000544_1,41.54,2,2,0,1.0,41.54,False,False
1000547_1,0.0,1,1,0,0.0,0.0,False,False
1000564_1,0.0,1,1,0,0.0,0.0,False,False
1000571_1,0.0,1,1,0,0.0,0.0,False,False
1000590_1,0.0,1,1,0,0.0,0.0,False,False
1000618_1,0.0,1,1,0,0.0,0.0,False,False
1000624_1,0.0,1,1,0,0.0,0.0,False,False
1000624_2,0.0,1,1,0,0.0,784970.243,False,False
1000627_1,0.0,1,1,0,0.0,0.0,False,False
1000661_1,0.0,1,1,0,0.0,0.0,False,False
1000664_1,33.761,2,2,0,1.0,33.761,False,False
1000666_1,60.056,3,3,0,1.0,30.028,False,False
1000671_1,0.0,1,1,0,0.0,0.0,False,False
1000687_1,0.0,1,1,0,0.0,0.0,False,False
1000706_1,0.0,1,1,0,0.0,0.0,False,False
1000708_1,0.0,1,1,0,0.0,0.0,False,False
1000712_1,0.0,1,1,0,0.0,0.0,False,False
1000737_1,642.541,3,3,0,1.0,321.2705,True,False
1000745_1,0.0,1,1,0,0.0,0.0,False,False
1000748_1,159.538,2,2,0,0.0,159.538,False,False
1000750_1,0.0,1,1,0,0.0,0.0,False,False
1000773_1,0.0,1,1,0,0.0,0.0,False,False
1000791_1,1254.783,5,5,0,1.0,313.69575,True,False
1000799_1,0.0,1,1,0,0.0,0.0,False,False
100079_1,0.0,1,1,0,0.0,0.0,False,False
1000848_1,0.0,1,1,0,0.0,0.0,False,False
1000862_1,0.0,1,1,0,0.0,0.0,False,False
1000870_1,0.0,1,1,0,0.0,0.0,False,False
1000882_1,0.0,1,1,0,0.0,0.0,False,False
1000884_1,0.0,1,1,0,0.0,0.0,False,False
1000890_1,0.0,1,1,0,0.0,0.0,False,False
100090_1,22.388,2,2,0,0.0,22.388,False,False
1000919_1,0.0,1,1,0,0.0,0.0,False,False
1000925_1,0.0,1,1,0,0.0,0.0,False,False
1000937_1,0.0,1,1,0,0.0,0.0,False,False
1000968_1,0.0,1,1,0,0.0,0.0,False,False
1000973_1,22.947,2,2,0,0.0,22.947,False,False
1000973_2,767.205,4,4,0,0.0,13925.49975,True,False
1000975_1,0.0,1,1,0,0.0,0.0,False,False
1000977_1,0.0,1,1,0,0.0,0.0,False,False
1000988_1,0.0,1,1,0,0.0,0.0,False,False
1000993_1,0.0,1,1,0,0.0,0.0,False,False
1001012_1,0.0,1,1,0,0.0,0.0,False,False
1001012_2,0.0,1,1,0,0.0,7799733.097,False,False
1001015_1,0.0,1,1,0,0.0,0.0,False,False
1001020_1,76.736,2,2,0,0.0,76.736,False,False
1001031_1,206.259,3,3,0,1.0,103.1295,False,False
1001033_1,0.0,1,1,0,0.0,0.0,False,False
1001034_1,0.0,1,1,0,0.0,0.0,False,False
1001059_1,0.0,1,1,0,0.0,0.0,False,False
100105_1,1028.379,2,2,0,1.0,1028.379,True,False
100105_2,0.0,1,1,0,0.0,15469.351,False,False
1001070_1,0.0,1,1,0,0.0,0.0,False,False
1001073_1,0.0,1,1,0,0.0,0.0,False,False
1001075_1,37.638,2,2,0,1.0,37.638,False,False
1001078_1,0.0,1,1,0,0.0,0.0,False,False
